Unnamed: 0,label_x,url,brand,name,skin_type,price,concern,cs,label_y,img
462,cleanser,https://www.sephora.com/product/dermalogica-active-clay-prebiotic-cleanser-P456569?skuId=2318053&icid2=products%20grid:p456569:product,dermalogica,active clay prebiotic cleanser,oily,$45.00 ,"dryness, acne,blemishes,oiliness,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2318053-main-zoom.jpg?imwidth=175
463,cleanser,https://www.sephora.com/product/intensive-moisture-cleanser-P445822?skuId=2250124&icid2=products%20grid:p445822:product,,intensive moisture cleanser,normal,$44.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",0.1825741858350553,Cleanser,https://www.sephora.com/productimages/sku/s2250124-main-zoom.jpg?imwidth=175
463,cleanser,https://www.sephora.com/product/intensive-moisture-cleanser-P445822?skuId=2250124&icid2=products%20grid:p445822:product,,intensive moisture cleanser,dry,$44.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",0.1825741858350553,Cleanser,https://www.sephora.com/productimages/sku/s2250124-main-zoom.jpg?imwidth=175
463,cleanser,https://www.sephora.com/product/intensive-moisture-cleanser-P445822?skuId=2250124&icid2=products%20grid:p445822:product,,intensive moisture cleanser,combination,$44.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",0.1825741858350553,Cleanser,https://www.sephora.com/productimages/sku/s2250124-main-zoom.jpg?imwidth=175
463,cleanser,https://www.sephora.com/product/intensive-moisture-cleanser-P445822?skuId=2250124&icid2=products%20grid:p445822:product,,intensive moisture cleanser,oily,$44.00 ,"dryness, dullness,uneven texture,loss of firmness,elasticity",0.1825741858350553,Cleanser,https://www.sephora.com/productimages/sku/s2250124-main-zoom.jpg?imwidth=175
464,cleanser,https://www.sephora.com/product/clarins-total-cleansing-oil-P467757?skuId=2438430&icid2=products%20grid:p467757:product,clarins,total cleansing oil & makeup remover,normal,$39.00 ,"pores, dullness,uneven texture,",0.0,,
464,cleanser,https://www.sephora.com/product/clarins-total-cleansing-oil-P467757?skuId=2438430&icid2=products%20grid:p467757:product,clarins,total cleansing oil & makeup remover,dry,$39.00 ,"pores, dullness,uneven texture,",0.0,,
464,cleanser,https://www.sephora.com/product/clarins-total-cleansing-oil-P467757?skuId=2438430&icid2=products%20grid:p467757:product,clarins,total cleansing oil & makeup remover,combination,$39.00 ,"pores, dullness,uneven texture,",0.0,,
464,cleanser,https://www.sephora.com/product/clarins-total-cleansing-oil-P467757?skuId=2438430&icid2=products%20grid:p467757:product,clarins,total cleansing oil & makeup remover,oily,$39.00 ,"pores, dullness,uneven texture,",0.0,,
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,normal,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Sunscreen,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,normal,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Primer,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,dry,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Sunscreen,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,dry,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Primer,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,combination,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Sunscreen,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,combination,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Primer,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,oily,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Sunscreen,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
465,sunscreen,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2315935&icid2=products%20grid:p454380:product,supergoop!,unseen sunscreen invisible broad spectrum spf 40 pa +++,oily,$38.00 ,"fine lines,wrinkles, pores,dullness,uneven texture",0.1825741858350553,Primer,https://www.sephora.com/productimages/sku/s2315935-main-zoom.jpg?imwidth=175
466,sunscreen,https://www.sephora.com/product/innisfree-daily-uv-defense-sunscreen-spf-36-P456392?skuId=2742419&icid2=products%20grid:p456392:product,innisfree,daily uv defense invisible broad spectrum spf 36 sunscreen,normal,$18.00 ,"dark spots, fine lines,wrinkles,dryness,",0.4082482904638631,Sunscreen,https://www.sephora.com/productimages/sku/s2742419-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
466,sunscreen,https://www.sephora.com/product/innisfree-daily-uv-defense-sunscreen-spf-36-P456392?skuId=2742419&icid2=products%20grid:p456392:product,innisfree,daily uv defense invisible broad spectrum spf 36 sunscreen,dry,$18.00 ,"dark spots, fine lines,wrinkles,dryness,",0.4082482904638631,Sunscreen,https://www.sephora.com/productimages/sku/s2742419-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
