Unnamed: 0_x,label,url,brand_x,name_x,skin_type_x,price_x,concern_x,Unnamed: 0_y,label_x,brand_y,name_y,skin_type_y,price_y,concern_y,cs,label_y,img
116,face-moisturizer,https://www.sephora.com/product/forget-filler-skin-plumping-line-smoothing-moisturizer-makeup-primer-P507153?skuId=2694677&icid2=products%20grid:p507153:product,LAWLESS,Forget the Filler Skin-Plumping Line-Smoothing Moisturizer + Makeup Primer,"Normal, Dry, Combination, and Oily",$52.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",116,face-moisturizer,lawless,forget the filler skin-plumping line-smoothing moisturizer + makeup primer,dry,$52.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,Primer,https://www.sephora.com/productimages/sku/s2694677-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
116,face-moisturizer,https://www.sephora.com/product/forget-filler-skin-plumping-line-smoothing-moisturizer-makeup-primer-P507153?skuId=2694677&icid2=products%20grid:p507153:product,LAWLESS,Forget the Filler Skin-Plumping Line-Smoothing Moisturizer + Makeup Primer,"Normal, Dry, Combination, and Oily",$52.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",116,face-moisturizer,lawless,forget the filler skin-plumping line-smoothing moisturizer + makeup primer,combination,$52.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2694677-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
116,face-moisturizer,https://www.sephora.com/product/forget-filler-skin-plumping-line-smoothing-moisturizer-makeup-primer-P507153?skuId=2694677&icid2=products%20grid:p507153:product,LAWLESS,Forget the Filler Skin-Plumping Line-Smoothing Moisturizer + Makeup Primer,"Normal, Dry, Combination, and Oily",$52.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",116,face-moisturizer,lawless,forget the filler skin-plumping line-smoothing moisturizer + makeup primer,combination,$52.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,Primer,https://www.sephora.com/productimages/sku/s2694677-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
116,face-moisturizer,https://www.sephora.com/product/forget-filler-skin-plumping-line-smoothing-moisturizer-makeup-primer-P507153?skuId=2694677&icid2=products%20grid:p507153:product,LAWLESS,Forget the Filler Skin-Plumping Line-Smoothing Moisturizer + Makeup Primer,"Normal, Dry, Combination, and Oily",$52.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",116,face-moisturizer,lawless,forget the filler skin-plumping line-smoothing moisturizer + makeup primer,oily,$52.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2694677-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
116,face-moisturizer,https://www.sephora.com/product/forget-filler-skin-plumping-line-smoothing-moisturizer-makeup-primer-P507153?skuId=2694677&icid2=products%20grid:p507153:product,LAWLESS,Forget the Filler Skin-Plumping Line-Smoothing Moisturizer + Makeup Primer,"Normal, Dry, Combination, and Oily",$52.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",116,face-moisturizer,lawless,forget the filler skin-plumping line-smoothing moisturizer + makeup primer,oily,$52.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,Primer,https://www.sephora.com/productimages/sku/s2694677-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
117,face-moisturizer,https://www.sephora.com/product/josie-maran-whipped-argan-oil-firming-hydrating-face-butter-P512895?skuId=2807105&icid2=products%20grid:p512895:product,Josie Maran,Whipped Argan Oil Firming + Hydrating Face Butter Moisturizer,"Normal, Dry, Combination, and Oily",$48.00 ,"Pores, Dryness,Loss of Firmness,Elasticity",117,face-moisturizer,josie maran,whipped argan oil firming + hydrating face butter moisturizer,normal,$48.00,"pores, dryness,loss of firmness,elasticity",0.2041241452,face-moisturizer,https://www.sephora.com/productimages/sku/s2807105-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
117,face-moisturizer,https://www.sephora.com/product/josie-maran-whipped-argan-oil-firming-hydrating-face-butter-P512895?skuId=2807105&icid2=products%20grid:p512895:product,Josie Maran,Whipped Argan Oil Firming + Hydrating Face Butter Moisturizer,"Normal, Dry, Combination, and Oily",$48.00 ,"Pores, Dryness,Loss of Firmness,Elasticity",117,face-moisturizer,josie maran,whipped argan oil firming + hydrating face butter moisturizer,dry,$48.00,"pores, dryness,loss of firmness,elasticity",0.2041241452,face-moisturizer,https://www.sephora.com/productimages/sku/s2807105-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
117,face-moisturizer,https://www.sephora.com/product/josie-maran-whipped-argan-oil-firming-hydrating-face-butter-P512895?skuId=2807105&icid2=products%20grid:p512895:product,Josie Maran,Whipped Argan Oil Firming + Hydrating Face Butter Moisturizer,"Normal, Dry, Combination, and Oily",$48.00 ,"Pores, Dryness,Loss of Firmness,Elasticity",117,face-moisturizer,josie maran,whipped argan oil firming + hydrating face butter moisturizer,combination,$48.00,"pores, dryness,loss of firmness,elasticity",0.2041241452,face-moisturizer,https://www.sephora.com/productimages/sku/s2807105-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
117,face-moisturizer,https://www.sephora.com/product/josie-maran-whipped-argan-oil-firming-hydrating-face-butter-P512895?skuId=2807105&icid2=products%20grid:p512895:product,Josie Maran,Whipped Argan Oil Firming + Hydrating Face Butter Moisturizer,"Normal, Dry, Combination, and Oily",$48.00 ,"Pores, Dryness,Loss of Firmness,Elasticity",117,face-moisturizer,josie maran,whipped argan oil firming + hydrating face butter moisturizer,oily,$48.00,"pores, dryness,loss of firmness,elasticity",0.2041241452,face-moisturizer,https://www.sephora.com/productimages/sku/s2807105-main-zoom.jpg?pb=clean-planet-aware&imwidth=175
118,face-moisturizer,https://www.sephora.com/product/mini-honey-halo-ultra-hydrating-ceramide-moisturizer-P506692?skuId=2527620&icid2=products%20grid:p506692:product,Farmacy,Mini Honey Halo Ultra-Hydrating Ceramide Moisturizer,Normal and Dry,$25.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",118,face-moisturizer,farmacy,mini honey halo ultra-hydrating ceramide moisturizer,normal,$25.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2527620-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
118,face-moisturizer,https://www.sephora.com/product/mini-honey-halo-ultra-hydrating-ceramide-moisturizer-P506692?skuId=2527620&icid2=products%20grid:p506692:product,Farmacy,Mini Honey Halo Ultra-Hydrating Ceramide Moisturizer,Normal and Dry,$25.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",118,face-moisturizer,farmacy,mini honey halo ultra-hydrating ceramide moisturizer,dry,$25.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2527620-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
119,face-moisturizer,https://www.sephora.com/product/hydrating-petal-cream-hyaluronic-acid-vitamin-c-daily-moisturizer-P506840?skuId=2706513&icid2=products%20grid:p506840:product,Saint Jane Beauty,Hydrating Petal Cream - Hyaluronic Acid + Vitamin C Daily Moisturizer,"Normal, Dry, Combination, and Oily",$68.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",119,face-moisturizer,saint jane beauty,hydrating petal cream - hyaluronic acid + vitamin c daily moisturizer,normal,$68.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2706513-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
119,face-moisturizer,https://www.sephora.com/product/hydrating-petal-cream-hyaluronic-acid-vitamin-c-daily-moisturizer-P506840?skuId=2706513&icid2=products%20grid:p506840:product,Saint Jane Beauty,Hydrating Petal Cream - Hyaluronic Acid + Vitamin C Daily Moisturizer,"Normal, Dry, Combination, and Oily",$68.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",119,face-moisturizer,saint jane beauty,hydrating petal cream - hyaluronic acid + vitamin c daily moisturizer,dry,$68.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2706513-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
119,face-moisturizer,https://www.sephora.com/product/hydrating-petal-cream-hyaluronic-acid-vitamin-c-daily-moisturizer-P506840?skuId=2706513&icid2=products%20grid:p506840:product,Saint Jane Beauty,Hydrating Petal Cream - Hyaluronic Acid + Vitamin C Daily Moisturizer,"Normal, Dry, Combination, and Oily",$68.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",119,face-moisturizer,saint jane beauty,hydrating petal cream - hyaluronic acid + vitamin c daily moisturizer,combination,$68.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2706513-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
119,face-moisturizer,https://www.sephora.com/product/hydrating-petal-cream-hyaluronic-acid-vitamin-c-daily-moisturizer-P506840?skuId=2706513&icid2=products%20grid:p506840:product,Saint Jane Beauty,Hydrating Petal Cream - Hyaluronic Acid + Vitamin C Daily Moisturizer,"Normal, Dry, Combination, and Oily",$68.00 ,"Fine Lines and Wrinkles, Dryness,Loss of Firmness,Elasticity",119,face-moisturizer,saint jane beauty,hydrating petal cream - hyaluronic acid + vitamin c daily moisturizer,oily,$68.00,"fine lines,wrinkles, dryness,loss of firmness,elasticity",0.3651483717,face-moisturizer,https://www.sephora.com/productimages/sku/s2706513-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
