,Unnamed: 0,label,url,brand,name,skin_type,price,concern,img,cs
12,12,face-moisturizer,https://www.sephora.com/product/dieux-air-angel-collagen-peptide-hydrating-gel-cream-P510269?skuId=2767127&icid2=products%20grid:p510269:product,dieux,air angel collagen & peptide hydrating gel cream,normal,$44.00 ,"fine lines,wrinkles, dryness,acne,blemishes",https://www.sephora.com/productimages/sku/s2767127-main-zoom.jpg?imwidth=175,0.3333333333333334
12,12,face-moisturizer,https://www.sephora.com/product/dieux-air-angel-collagen-peptide-hydrating-gel-cream-P510269?skuId=2767127&icid2=products%20grid:p510269:product,dieux,air angel collagen & peptide hydrating gel cream,dry,$44.00 ,"fine lines,wrinkles, dryness,acne,blemishes",https://www.sephora.com/productimages/sku/s2767127-main-zoom.jpg?imwidth=175,0.36514837167011077
12,12,face-moisturizer,https://www.sephora.com/product/dieux-air-angel-collagen-peptide-hydrating-gel-cream-P510269?skuId=2767127&icid2=products%20grid:p510269:product,dieux,air angel collagen & peptide hydrating gel cream,combination,$44.00 ,"fine lines,wrinkles, dryness,acne,blemishes",https://www.sephora.com/productimages/sku/s2767127-main-zoom.jpg?imwidth=175,0.2886751345948129
12,12,face-moisturizer,https://www.sephora.com/product/dieux-air-angel-collagen-peptide-hydrating-gel-cream-P510269?skuId=2767127&icid2=products%20grid:p510269:product,dieux,air angel collagen & peptide hydrating gel cream,oily,$44.00 ,"fine lines,wrinkles, dryness,acne,blemishes",https://www.sephora.com/productimages/sku/s2767127-main-zoom.jpg?imwidth=175,0.3333333333333334
13,13,face-moisturizer,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products%20grid:p482693:product,laneige,water bank blue hyaluronic cream moisturizer for moisture barrier repair,normal,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2735843-main-zoom.jpg?imwidth=175,0.18257418583505539
13,13,face-moisturizer,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products%20grid:p482693:product,laneige,water bank blue hyaluronic cream moisturizer for moisture barrier repair,dry,$40.00 ,"dryness, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2735843-main-zoom.jpg?imwidth=175,0.20412414523193154
14,14,face-moisturizer,https://www.sephora.com/product/green-tea-seed-hyaluronic-acid-hydrating-cream-P503891?skuId=2740520&icid2=products%20grid:p503891:product,innisfree,green tea seed hyaluronic acid hydrating cream,normal,$29.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2740520-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2886751345948129
14,14,face-moisturizer,https://www.sephora.com/product/green-tea-seed-hyaluronic-acid-hydrating-cream-P503891?skuId=2740520&icid2=products%20grid:p503891:product,innisfree,green tea seed hyaluronic acid hydrating cream,dry,$29.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2740520-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.4082482904638631
14,14,face-moisturizer,https://www.sephora.com/product/green-tea-seed-hyaluronic-acid-hydrating-cream-P503891?skuId=2740520&icid2=products%20grid:p503891:product,innisfree,green tea seed hyaluronic acid hydrating cream,combination,$29.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2740520-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
14,14,face-moisturizer,https://www.sephora.com/product/green-tea-seed-hyaluronic-acid-hydrating-cream-P503891?skuId=2740520&icid2=products%20grid:p503891:product,innisfree,green tea seed hyaluronic acid hydrating cream,oily,$29.00 ,"dryness,,,",https://www.sephora.com/productimages/sku/s2740520-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.2886751345948129
15,15,face-moisturizer,https://www.sephora.com/product/augustinus-bader-the-rich-cream-with-tfc8-face-moisturizer-P470509?icid2=products%20grid:p470509:product,augustinus bader,the rich cream with tfc8® face moisturizer,normal,$300.00 ,"fine lines,wrinkles, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2458842-main-zoom.jpg?imwidth=175,0.1666666666666667
15,15,face-moisturizer,https://www.sephora.com/product/augustinus-bader-the-rich-cream-with-tfc8-face-moisturizer-P470509?icid2=products%20grid:p470509:product,augustinus bader,the rich cream with tfc8® face moisturizer,dry,$300.00 ,"fine lines,wrinkles, dullness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2458842-main-zoom.jpg?imwidth=175,0.3333333333333334
16,16,face-moisturizer,https://www.sephora.com/product/the-water-cream-P418218?skuId=2785400&icid2=products%20grid:p418218:product,tatcha,the water cream oil-free pore minimizing refillable moisturizer,normal,$72.00 ,"dryness, pores,dullness,",https://www.sephora.com/productimages/sku/s2785400-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
16,16,face-moisturizer,https://www.sephora.com/product/the-water-cream-P418218?skuId=2785400&icid2=products%20grid:p418218:product,tatcha,the water cream oil-free pore minimizing refillable moisturizer,oily,$72.00 ,"dryness, pores,dullness,",https://www.sephora.com/productimages/sku/s2785400-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.20412414523193154
16,16,face-moisturizer,https://www.sephora.com/product/the-water-cream-P418218?skuId=2785400&icid2=products%20grid:p418218:product,tatcha,the water cream oil-free pore minimizing refillable moisturizer,combination,$72.00 ,"dryness, pores,dullness,",https://www.sephora.com/productimages/sku/s2785400-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.1666666666666667
17,17,face-moisturizer,https://www.sephora.com/product/farmacy-honey-halo-ultra-hydrating-ceramide-moisturizer-P463036?icid2=products%20grid:p463036:product,farmacy,honey halo ultra-hydrating ceramide moisturizer,normal,$48.00 ,"fine lines,wrinkles, dryness,loss of firmness,elasticity",https://www.sephora.com/productimages/sku/s2369957-main-zoom.jpg?pb=clean-at-sephora&imwidth=175,0.3333333333333334
